LEA ID,LEA Name,,,School ID,School Name,,,,Identified Student Percentage (ISP),Proxy Identified Student Percentage (ISP),,Eligible to Participate,,Near Eligible to Participate,Currently Participating,Participating as an Individual Site,,,Participating as part of a Group of Schools,Participating as Part of an Entire District,Participating in Year 4 and Eligible for a Grace Year,,"Student Enrollment in Near-Eligible, Eligible, and Participating CEP Schools",Comments,
38.51%,,,,,,X,X,,G18,,,,683,,,,,,,,,,,,
38.57%,,,,,,X,X,,G21,,,,70,,,,,,,,,,,,
38.83%,,,,,,X,,,,,,,"1,602",,,,,,,,,,,,
39.23%,,,,,,X,X,,G33,,,,673,,,,,,,,,,,,
39.32%,,,,,,X,,,,,,,"2,696",,,,,,,,,,,,
39.40%,,,,,,X,,,,,,,604,,,,,,,,,,,,
39.49%,,,,,,X,,,,,,,785,,,,,,,,,,,,
39.60%,,,,,,X,,,,,,,505,,,,,,,,,,,,
39.72%,,,,,,X,X,,G17,,,,647,,,,,,,,,,,,
39.93%,,,,,,X,,,,,,,561,,,,,,,,,,,,
40.12%,,,X,,,,,,,,,,643,,,,,,,,,,,,
40.31%,,,X,,,,,,,,,,"1,424",,,,,,,,,,,,
40.50%,,,X,,,,,,,,,,558,,,,,,,,,,,,
40.73%,,,X,,,,,,,,,,572,,,,,,,,,,,,
40.83%,,,X,,,,,,,,,,"1,227",,,,,,,,,,,,
40.94%,,,X,,,,,,,,,,552,,,,,,,,,,,,
41.12%,,,X,,,,,,,,,,715,,,,,,,,,,,,
41.15%,,,X,,,,X,,G23,,,,836,,,,,,,,,,,,
41.28%,,,X,,,,,,,,,,"1,497",,,,,,,,,,,,
41.91%,,,X,,,,,,,,,,754,,,,,,,,,,,,
42.52%,,,X,,,,X,,G16,,,,555,,,,,,,,,,,,
42.63%,,,X,,,,,,,,,,835,,,,,,,,,,,,
43.11%,,,X,,,,,,,,,,689,,,,,,,,,,,,
43.14%,,,X,,,,,,,,,,"2,494",,,,,,,,,,,,
43.25%,,,X,,,,,,,,,,585,,,,,,,,,,,,
43.55%,,,X,,,,,,,,,,"1,348",,,,,,,,,,,,
43.68%,,,X,,,,,,,,,,"2,738",,,,,,,,,,,,
43.84%,,,X,,,,,,,,,,771,,,,,,,,,,,,
43.86%,,,X,,,,X,,G29,,,,114,,,,,,,,,,,,
43.92%,,,X,,,,,,,,,,"1,020",,,,,,,,,,,,
44.01%,,,X,,,,,,,,,,568,,,,,,,,,,,,
45.58%,,,X,,,,,,,,,,735,,,,,,,,,,,,
45.88%,,,X,,,,,,,,,,"2,025",,,,,,,,,,,,
45.89%,,,X,,,,,,,,,,985,,,,,,,,,,,,
46.07%,,,X,,,,,,,,,,738,,,,,,,,,,,,
46.14%,,,X,,,,,,,,,,557,,,,,,,,,,,,
46.46%,,,X,,,,,,,,,,721,,,,,,,,,,,,
46.58%,,,X,,,,X,,G21,,,,73,,,,,,,,,,,,
46.76%,,,X,,,,,,,,,,"1,279",,,,,,,,,,,,
46.94%,,,X,,,,,,,,,,"1,306",,,,,,,,,,,,
46.95%,,,X,,,,,,,,,,541,,,,,,,,,,,,
47.09%,,,X,,,,X,,G25,,,,"1,032",,,,,,,,,,,,
47.27%,,,X,,,,,,,,,,"3,201",,,,,,,,,,,,
47.60%,,,X,,,,,,,,,,542,,,,,,,,,,,,
48.13%,,,X,,,,X,,G27,,,,160,,,,,,,,,,,,
